"","year","M","r","G","C","Xm","I","Im","Y"
"1",1986,2.79947e+13,21.50416667,1.15287e+13,6.55948e+13,2.10174e+13,2.83504e+13,2.10362e+13,1.02546e+14
"2",1987,3.43745e+13,21.66666667,1.17635e+13,7.73702e+13,3.0676e+13,3.40085e+13,2.79558e+13,1.24817e+14
"3",1988,4.27342e+13,22.0975,1.27558e+13,8.97223e+13,3.55854e+13,4.13497e+13,3.15656e+13,1.42105e+14
"4",1989,5.90447e+13,21.69916667,1.56976e+13,1.00234e+14,4.36144e+13,5.12973e+13,3.8443e+13,1.67185e+14
"5",1990,8.53535e+13,20.825,1.86491e+13,1.24184e+14,5.34093e+13,6.39753e+13,5.00457e+13,1.95597e+14
"6",1991,1.00313e+14,25.53333333,2.07846e+13,1.46072e+14,6.4485e+13,7.24871e+13,6.02477e+13,2.2745e+14
"7",1992,1.19996e+14,24.03333333,2.47313e+13,1.63311e+14,7.87644e+13,7.84223e+13,7.04806e+13,2.59885e+14
"8",1993,1.44063e+14,20.58666667,2.97567e+13,1.92958e+14,8.82309e+13,9.32628e+13,7.8383e+13,3.29776e+14
"9",1994,1.73167e+14,17.76,3.1014e+13,2.28119e+14,1.01332e+14,1.13025e+14,9.69526e+13,3.8222e+14
"10",1995,2.20829e+14,18.85166667,3.55842e+13,2.79876e+14,1.19593e+14,1.38308e+14,1.25657e+14,4.54514e+14
"11",1996,2.80631e+14,19.2175,4.02992e+13,3.32094e+14,1.37533e+14,1.68304e+14,1.40812e+14,5.32568e+14
"12",1997,3.51504e+14,21.8175,4.2952e+13,3.87171e+14,1.74871e+14,1.9024e+14,1.766e+14,6.27696e+14
"13",1998,5.72118e+14,32.15416667,5.44159e+13,6.47824e+14,5.06245e+14,2.62158e+14,4.13058e+14,9.55754e+14
"14",1999,6.42107e+14,27.6625,7.26313e+13,8.13183e+14,3.9056e+14,2.43467e+14,3.01654e+14,1.1e+15
"15",2000,7.48845e+14,18.455,9.07797e+13,8.56798e+14,5.6949e+14,3.09164e+14,4.23318e+14,1.39e+15
"16",2001,8.37739e+14,18.5475,1.13416e+14,1.04e+15,6.42595e+14,3.71069e+14,5.06426e+14,1.65e+15
"17",2002,8.77598e+14,18.945,1.32219e+14,1.23e+15,5.95514e+14,3.89947e+14,4.80815e+14,1.82e+15
"18",2003,9.4726e+14,16.935,1.63701e+14,1.37e+15,6.13721e+14,5.1547e+14,4.65941e+14,2.01e+15
"19",2004,1.03e+15,14.12416667,1.91056e+14,1.53e+15,7.39639e+14,5.52292e+14,6.32376e+14,2.3e+15
"20",2005,1.2e+15,14.05083333,2.24981e+14,1.79e+15,9.45122e+14,6.95829e+14,8.30083e+14,2.77e+15
"21",2006,1.38e+15,15.97916667,2.8808e+14,2.09e+15,1.04e+15,8.48168e+14,8.55588e+14,3.34e+15
"22",2007,1.65e+15,13.86166667,3.2976e+14,2.51e+15,1.16e+15,9.84574e+14,1e+15,3.95e+15
"23",2008,1.9e+15,13.59833333,4.16867e+14,3e+15,1.48e+15,1.38e+15,1.42e+15,4.95e+15
"24",2009,2.14e+15,14.49833333,5.37589e+14,3.29e+15,1.35e+15,1.74e+15,1.2e+15,5.61e+15
"25",2010,2.47e+15,13.25166667,6.18178e+14,3.86e+15,1.67e+15,2.26e+15,1.54e+15,6.86e+15
"26",2011,2.88e+15,12.40333333,7.09451e+14,4.34e+15,2.06e+15,2.58e+15,1.87e+15,7.83e+15
"27",2012,3.31e+15,11.795,7.96848e+14,4.86e+15,2.12e+15,3.02e+15,2.15e+15,8.62e+15
"28",2013,3.73e+15,11.6575,9.08574e+14,5.43e+15,2.28e+15,3.23e+15,2.36e+15,9.55e+15
"29",2014,4.17e+15,12.605,9.96197e+14,6.04e+15,2.5e+15,3.66e+15,2.58e+15,1.06e+16
"30",2015,4.55e+15,12.6625,1.12e+15,6.62e+15,2.44e+15,3.93e+15,2.39e+15,1.15e+16
"31",2016,5e+15,11.88833333,1.18e+15,7.17e+15,2.37e+15,4.2e+15,2.27e+15,1.24e+16
"32",2017,5.42e+15,11.07333333,1.24e+15,7.78e+15,2.74e+15,4.58e+15,2.61e+15,1.36e+16
"33",2018,5.76e+15,10.53666667,1.34e+15,8.46e+15,3.11e+15,5.13e+15,3.27e+15,1.48e+16
"34",2019,6.14e+15,10.36583333,1.39e+15,9.17e+15,2.91e+15,5.35e+15,2.99e+15,1.58e+16
